"","Spend","Treatment"
"1",77.7716346961009,"A"
"2",73.5986403002356,"A"
"3",83.8758168478011,"A"
"4",75.9366006083671,"A"
"5",80.7126307323782,"A"
"6",77.0776306674639,"A"
"7",81.1475327796451,"A"
"8",76.1833983612047,"A"
"9",73.1730861337397,"A"
"10",80.5257213612514,"A"
"11",69.5320301419946,"A"
"12",77.3093545411338,"A"
"13",68.195077337199,"A"
"14",65.7198642284051,"A"
"15",72.8007229541833,"A"
"16",74.0302654971296,"A"
"17",81.9821575681904,"A"
"18",75.503316228595,"A"
"19",74.4278059497596,"A"
"20",78.5111261496297,"A"
"21",76.3127133549058,"A"
"22",84.1808165092294,"A"
"23",76.787012094099,"A"
"24",69.7729493674587,"A"
"25",78.1009206366887,"A"
"26",75.7467726465225,"A"
"27",67.7034157302633,"A"
"28",64.8647809961027,"A"
"29",69.7152111987754,"A"
"30",71.3592814207057,"A"
"31",74.9589466497204,"A"
"32",79.2389868786888,"A"
"33",73.0825425215975,"A"
"34",72.3674424486244,"A"
"35",73.6338701859544,"A"
"36",71.9712919732582,"A"
"37",73.3356634726613,"A"
"38",73.7923122724102,"A"
"39",70.6861230038868,"A"
"40",70.7651462377636,"A"
"41",75.5017017254148,"A"
"42",82.9501676348417,"A"
"43",77.8324743805588,"A"
"44",83.0723974690311,"A"
"45",72.656749203875,"A"
"46",71.3694929972598,"A"
"47",69.8833049906828,"A"
"48",65.3109223671058,"A"
"49",76.3857364462252,"A"
"50",82.0417683330323,"A"
"51",76.3656459464491,"A"
"52",78.7776253445896,"A"
"53",73.2549079431926,"A"
"54",72.2690462049282,"A"
"55",76.1718099747515,"A"
"56",73.5108588890979,"A"
"57",70.797619336093,"A"
"58",79.1325517802774,"A"
"59",82.4184561554545,"A"
"60",78.498378207091,"A"
"61",68.692129244319,"A"
"62",76.4913587185021,"A"
"63",74.2609644702665,"A"
"64",70.555388331704,"A"
"65",80.065329291904,"A"
"66",70.3973745870172,"A"
"67",72.1305274790307,"A"
"68",80.7518274229109,"A"
"69",80.7191228105103,"A"
"70",73.8027861861587,"A"
"71",69.5659892532532,"A"
"72",74.6927650741636,"A"
"73",72.4165132781323,"A"
"74",65.4616315552176,"A"
"75",75.5357824065422,"A"
"76",69.1131240620242,"A"
"77",83.7271345625793,"A"
"78",73.0065073670848,"A"
"79",77.2121971219759,"A"
"80",77.2513973104454,"A"
"81",74.6196892105544,"A"
"82",76.4875660786021,"A"
"83",69.0282264467042,"A"
"84",65.0156225766196,"A"
"85",81.9425652367802,"A"
"86",74.5875821321749,"A"
"87",76.9625724380251,"A"
"88",69.5861514328828,"A"
"89",83.0106019571854,"A"
"90",80.0203448472118,"A"
"91",76.8994785007876,"A"
"92",72.1724731784198,"A"
"93",68.9311095109881,"A"
"94",68.1784920369752,"A"
"95",67.9193352498107,"A"
"96",73.7221098478909,"A"
"97",68.8728702303248,"A"
"98",76.0691713224971,"A"
"99",75.3361177778377,"A"
"100",79.2831755649927,"A"
"101",73.1541365709129,"A"
"102",78.0574871820013,"A"
"103",66.8562134094857,"A"
"104",75.7117883882299,"A"
"105",73.6765349780919,"A"
"106",72.492145933275,"A"
"107",81.1170268762874,"A"
"108",77.1602609004571,"A"
"109",74.9659477602111,"A"
"110",83.3651200430208,"A"
"111",70.667416444691,"A"
"112",83.1807294478868,"A"
"113",69.8944872027565,"A"
"114",70.9411776410157,"A"
